Id,SalePrice
1461,115308.4617852924
1462,160761.0069269757
1463,185333.55715369058
1464,209877.10154210866
1465,195535.60680302102
1466,168665.25167150018
1467,181699.5960660875
1468,163819.20199953014
1469,192304.4171690052
1470,113044.95583318471
1471,189539.44647641166
1472,94400.79243765672
1473,93609.85078028118
1474,154028.9892115829
1475,115024.2648070051
1476,344734.33208602783
1477,243342.51653312874
1478,306873.31043711986
1479,300273.3541213629
1480,476108.0929864853
1481,337325.88279129367
1482,222349.25222475355
1483,183875.3538757891
1484,164731.42990768398
1485,194202.62303360106
1486,199937.2088966436
1487,317145.4740240835
1488,242504.04791576773
1489,190139.48214901198
1490,234437.19759625127
1491,187222.21218621038
1492,97037.4637244578
1493,180851.94738866863
1494,292859.2486284844
1495,303450.78329856135
1496,232543.21832915774
1497,189699.0445576805
1498,170144.49484824372
1499,169666.0261878085
1500,162747.85622725042
1501,175793.29929378766
1502,163208.59318151735
1503,285384.26365035115
1504,251089.30676164397
1505,237407.75029795754
1506,202298.41920955552
1507,243584.8159538262
1508,200995.0923704524
1509,169159.56698407538
1510,140088.46630664542
1511,142623.73133731546
1512,171001.48594433855
1513,141901.41847876817
1514,163990.50679422478
1515,212009.54847747568
1516,162382.6602471393
1517,176593.69955286852
1518,140348.0436979442
1519,203451.06514976613
1520,122770.07758450079
1521,127688.69266399881
1522,173761.5301473796
1523,106343.61849545442
1524,121093.18856388923
1525,120310.12000958777
1526,116620.81505238471
1527,104611.89336152485
1528,144951.357776808
1529,144220.94975663183
1530,177916.4759595913
1531,108591.280127368
1532,102221.38226017484
1533,141827.29848050798
1534,118517.94157629451
1535,161703.02111214964
1536,109084.26214920728
1537,66649.46747696152
1538,159914.3325134797
1539,185927.95372930646
1540,97625.85900416489
1541,144834.660047083
1542,137878.98681651923
1543,187598.09006265295
1544,89974.13858996338
1545,114195.70400041688
1546,131087.85548344514
1547,128616.35802504403
1548,130986.13975397816
1549,116052.71055430971
1550,122746.19406378779
1551,112308.9171058361
1552,123006.09535251738
1553,141178.17749430344
1554,117401.4808857886
1555,174578.11046321387
1556,94209.49617725512
1557,104993.48867419048
1558,107545.41102804386
1559,84924.8537413767
1560,142372.8253540974
1561,123204.44386380729
1562,124973.44768858056
1563,111656.15267585208
1564,157715.76117049085
1565,143986.71605592963
1566,242738.16789847703
1567,80380.70061896053
1568,228392.78492054594
1569,116363.96815925161
1570,141007.91103818503
1571,127286.67542365659
1572,137854.98755028218
1573,227949.0572603954
1574,115991.76501215182
1575,216690.2483365143
1576,256203.21882046093
1577,180473.93729632333
1578,148746.54885055887
1579,142801.48146501722
1580,201938.8388104126
1581,163839.4245567253
1582,124990.98176023494
1583,310495.0840318384
1584,221959.41908435823
1585,143316.75914147822
